codigo_ibge,date,data,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,anual_prodution
4100459,2007,20070702.0,10.62,21.81,16.04,18.83,26.87,16.37,21.99,12.21,77.44,0.33,94.15,0.02,0.16,0.0,0.16,0.96,1.52,0.48,0.99,2.43,3.86,1.16,2.63,0.7,0.68,0.71,17.66,22.86,33.66,93.3,116.69,11.95,0.32,1.64,2950.0
4100459,2008,20080701.5,10.925,20.36,15.445,18.060000000000002,26.055,15.61,20.365,11.72,77.5,0.305,94.13,0.02,0.21,0.0,0.21,0.95,1.4649999999999999,0.43,1.0550000000000002,2.36,3.835,0.945,2.82,0.71,0.7,0.73,18.665,23.98,33.739999999999995,97.47999999999999,124.27,12.705,0.34,1.7,2749.0
4100459,2009,20090702.0,9.66,20.95,16.78,19.12,25.99,16.21,21.05,12.82,82.69,0.66,94.1,0.03,0.25,0.0,0.25,0.9,1.46,0.41,1.05,2.27,3.67,0.91,2.68,0.77,0.74,0.75,17.71,23.39,33.72,92.98,123.07,12.2,0.33,1.66,2749.0
4100459,2010,20100702.0,9.12,19.73,15.69,17.74,25.35,15.07,19.9,11.9,84.88,0.29,94.15,0.02,0.16,0.0,0.16,0.95,1.5,0.45,1.02,2.42,3.83,1.08,2.67,0.79,0.77,0.83,17.38,22.87,33.72,93.22,118.85,11.91,0.31,1.55,3250.0
4100459,2011,20110702.0,9.69,20.12,16.26,18.2,25.26,15.8,20.23,12.33,81.88,0.26,94.14,0.02,0.19,0.0,0.19,0.95,1.47,0.45,1.0,2.41,3.81,1.04,2.61,0.73,0.72,0.77,17.45,23.95,33.69,94.02,123.76,12.37,0.34,1.68,3200.0
4100459,2012,20120701.5,11.98,22.345,15.01,18.665,28.490000000000002,16.75,22.43,11.41,70.31,0.19,94.11,0.01,0.12,0.0,0.12,0.95,1.475,0.48,1.025,2.425,3.775,1.09,2.6550000000000002,0.65,0.64,0.67,18.48,24.225,33.76,97.13,126.21000000000001,12.64,0.33,1.6549999999999998,2197.0
4100459,2013,20130702.0,10.26,19.96,15.87,18.11,25.48,15.69,20.11,12.08,80.06,0.35,94.15,0.02,0.14,0.0,0.14,0.96,1.51,0.48,1.02,2.41,3.86,1.1,2.68,0.73,0.7,0.73,17.98,23.71,33.73,93.77,123.34,12.18,0.32,1.55,3223.0
4100459,2014,20140702.0,9.85,20.8,16.62,18.94,25.79,16.54,20.8,12.63,80.69,0.48,94.18,0.02,0.16,0.0,0.16,0.98,1.48,0.5,0.98,2.52,3.81,1.19,2.58,0.73,0.7,0.74,17.61,23.36,33.73,92.87,120.45,12.03,0.33,1.66,3471.0
4100459,2015,20150702.0,10.29,21.97,17.16,20.08,26.76,17.55,21.98,13.18,79.75,0.89,94.16,0.02,0.18,0.0,0.18,0.95,1.44,0.48,0.96,2.36,3.61,1.18,2.48,0.69,0.67,0.7,16.98,23.8,33.69,89.48,122.7,11.49,0.3,1.59,3099.0
4100459,2016,20160701.5,8.969999999999999,20.225,16.73,18.45,24.975,15.51,20.3,12.76,85.655,0.4,94.21,0.03,0.275,0.0,0.275,0.93,1.5,0.41,1.065,2.3049999999999997,3.705,0.92,2.61,0.78,0.76,0.8,17.98,24.29,33.75,95.525,125.04499999999999,12.405000000000001,0.35,1.75,2871.0
4100459,2017,20170702.0,9.42,20.93,16.93,18.94,25.7,16.3,21.07,12.88,83.88,0.46,94.21,0.02,0.21,0.0,0.21,0.95,1.51,0.44,1.05,2.41,3.83,1.06,2.7,0.75,0.73,0.77,17.55,23.81,33.72,90.71,123.46,11.88,0.32,1.57,3818.0
4100509,2004,20040701.5,11.965,23.380000000000003,17.765,20.11,29.4,17.450000000000003,23.155,13.06,76.97,0.25,97.64,1.04,1.64,0.59,1.12,2.34,3.425,1.39,2.14,4.18,6.12,2.1950000000000003,3.73,0.75,0.72,0.72,18.76,23.58,34.015,96.59,121.045,12.495000000000001,0.34,1.6349999999999998,1050.0
