codigo_ibge,date,data,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
4121406,2020,20200701.5,12.67,22.07,15.21,18.465,28.939999999999998,16.425,21.994999999999997,11.35,69.215,0.08499999999999999,95.7,0.2,0.38,0.09,0.295,1.23,1.88,0.63,1.23,2.815,4.19,1.32,2.785,0.66,0.65,0.68,18.705,22.869999999999997,33.45,96.815,118.96000000000001,12.485,0.34,1.74
4121505,2017,20170702.5,10.79,19.380000000000003,15.135,17.3,25.2,14.215,19.310000000000002,11.809999999999999,82.62,0.335,92.0,0.8,1.38,0.38,0.99,1.83,2.775,1.0550000000000002,1.86,3.375,5.27,1.7,3.465,0.68,0.63,0.67,15.65,23.61,33.36,82.47,121.235,10.945,0.3,1.4649999999999999
4121505,2018,20180702.0,11.05,19.62,15.49,17.52,25.3,14.55,19.42,12.02,80.88,0.37,91.95,0.77,1.35,0.37,0.98,1.73,2.77,0.89,1.9,3.13,5.05,1.38,3.46,0.66,0.61,0.65,15.74,23.53,33.45,82.71,122.5,11.01,0.29,1.45
4121505,2019,20190702.0,11.41,20.59,15.68,18.15,26.04,15.16,20.28,12.15,80.81,0.46,91.96,0.8,1.42,0.35,1.03,1.8,2.86,0.96,1.95,3.23,5.2,1.49,3.54,0.62,0.57,0.59,15.55,23.46,33.4,81.37,123.12,10.92,0.29,1.45
4121505,2020,20200701.5,12.925,19.525,14.075,16.58,26.63,14.01,19.335,10.96,75.72,0.275,91.95,0.79,1.38,0.36,1.01,1.79,2.84,0.91,2.0,3.18,5.3149999999999995,1.36,3.8,0.58,0.54,0.57,17.5,22.965,33.45,91.39,118.945,11.915,0.325,1.59
4121604,2017,20170702.5,10.79,20.08,16.634999999999998,18.425,25.945,15.185,20.200000000000003,12.63,83.09,0.325,94.3,0.09,0.35,0.01,0.34,1.29,1.93,0.75,1.18,2.98,4.31,1.6150000000000002,2.71,0.8,0.79,0.84,17.15,23.405,33.06,89.1,119.805,11.72,0.29,1.455
4121604,2018,20180702.0,10.7,20.12,17.05,18.73,25.62,15.24,20.3,12.94,83.06,0.23,94.29,0.1,0.43,0.01,0.41,1.24,1.89,0.66,1.26,2.8,4.16,1.32,2.78,0.8,0.79,0.84,16.63,23.29,33.15,88.09,121.86,11.59,0.29,1.46
4121604,2019,20190702.0,11.3,20.69,16.77,18.93,26.69,15.63,20.9,12.76,81.0,0.19,94.27,0.09,0.37,0.01,0.35,1.28,1.93,0.67,1.23,2.88,4.29,1.38,2.96,0.76,0.74,0.8,16.5,23.25,33.11,85.89,122.2,11.22,0.29,1.42
4121604,2020,20200701.5,13.71,20.884999999999998,14.89,17.775,28.34,14.7,21.04,11.29,73.19,0.11,94.24,0.11,0.41,0.02,0.4,1.34,2.04,0.68,1.38,2.92,4.525,1.255,3.2649999999999997,0.68,0.67,0.71,18.955,23.09,33.16,99.66,118.62,12.75,0.34,1.605
4121703,2017,20170702.5,10.09,20.33,15.73,18.04,25.645,15.375,20.380000000000003,12.21,80.75,0.37,92.48,0.135,0.27,0.06,0.21,1.145,1.68,0.61,1.08,2.6,3.88,1.36,2.545,0.58,0.52,0.55,17.43,23.93,33.65,89.815,122.975,11.98,0.32,1.6150000000000002
